Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,96,1,Some Random Commen with Id 0
1,0,0,132,6,Some Random Commen with Id 1
2,0,0,159,6,Some Random Commen with Id 2
3,0,0,149,7,Some Random Commen with Id 3
4,0,0,121,9,Some Random Commen with Id 4
5,0,0,113,5,Some Random Commen with Id 5
6,0,0,18,9,Some Random Commen with Id 6
7,1,7,104,9,Some Random Commen with Id 7
8,1,7,117,0,Some Random Commen with Id 8
9,1,7,108,0,Some Random Commen with Id 9
10,1,7,124,8,Some Random Commen with Id 10
11,1,7,147,5,Some Random Commen with Id 11
12,1,7,56,5,Some Random Commen with Id 12
13,1,7,188,7,Some Random Commen with Id 13
14,1,7,180,5,Some Random Commen with Id 14
15,2,6,159,0,Some Random Commen with Id 15
16,2,6,197,6,Some Random Commen with Id 16
17,2,6,66,1,Some Random Commen with Id 17
18,2,6,13,3,Some Random Commen with Id 18
19,2,6,45,8,Some Random Commen with Id 19
20,2,6,106,5,Some Random Commen with Id 20
21,2,6,176,1,Some Random Commen with Id 21
22,2,6,28,8,Some Random Commen with Id 22
23,3,3,115,1,Some Random Commen with Id 23
24,3,3,163,9,Some Random Commen with Id 24
25,3,3,7,3,Some Random Commen with Id 25
26,3,3,52,5,Some Random Commen with Id 26
27,3,3,31,4,Some Random Commen with Id 27
28,3,3,72,3,Some Random Commen with Id 28
29,3,3,65,7,Some Random Commen with Id 29
30,3,3,147,3,Some Random Commen with Id 30
31,4,4,186,6,Some Random Commen with Id 31
32,4,4,51,8,Some Random Commen with Id 32
33,4,4,11,8,Some Random Commen with Id 33
34,4,4,137,2,Some Random Commen with Id 34
35,4,4,98,2,Some Random Commen with Id 35
36,4,4,139,0,Some Random Commen with Id 36
37,5,4,50,3,Some Random Commen with Id 37
38,5,4,13,7,Some Random Commen with Id 38
39,5,4,168,9,Some Random Commen with Id 39
40,5,4,182,4,Some Random Commen with Id 40
41,5,4,50,4,Some Random Commen with Id 41
42,5,4,186,1,Some Random Commen with Id 42
43,5,4,146,8,Some Random Commen with Id 43
44,5,4,110,0,Some Random Commen with Id 44
45,5,4,4,1,Some Random Commen with Id 45
46,6,3,118,4,Some Random Commen with Id 46
47,7,1,106,2,Some Random Commen with Id 47
48,7,1,84,3,Some Random Commen with Id 48
49,7,1,112,9,Some Random Commen with Id 49
50,7,1,75,4,Some Random Commen with Id 50
51,8,6,185,0,Some Random Commen with Id 51
52,8,6,80,1,Some Random Commen with Id 52
53,8,6,193,3,Some Random Commen with Id 53
54,8,6,186,4,Some Random Commen with Id 54
55,8,6,197,5,Some Random Commen with Id 55
56,10,9,165,5,Some Random Commen with Id 56
57,10,9,106,0,Some Random Commen with Id 57
58,10,9,12,4,Some Random Commen with Id 58
59,10,9,106,6,Some Random Commen with Id 59
60,10,9,146,6,Some Random Commen with Id 60
61,10,9,49,2,Some Random Commen with Id 61
62,10,9,73,2,Some Random Commen with Id 62
63,10,9,98,6,Some Random Commen with Id 63
64,11,0,104,1,Some Random Commen with Id 64
65,11,0,35,6,Some Random Commen with Id 65
66,11,0,137,8,Some Random Commen with Id 66
67,11,0,66,6,Some Random Commen with Id 67
68,11,0,53,8,Some Random Commen with Id 68
69,11,0,188,6,Some Random Commen with Id 69
70,11,0,110,9,Some Random Commen with Id 70
71,11,0,128,9,Some Random Commen with Id 71
72,11,0,169,3,Some Random Commen with Id 72
73,12,1,138,3,Some Random Commen with Id 73
74,12,1,27,9,Some Random Commen with Id 74
75,14,0,194,0,Some Random Commen with Id 75
76,14,0,115,8,Some Random Commen with Id 76
77,14,0,161,7,Some Random Commen with Id 77
78,14,0,31,5,Some Random Commen with Id 78
79,14,0,162,8,Some Random Commen with Id 79
80,14,0,198,1,Some Random Commen with Id 80
81,14,0,24,0,Some Random Commen with Id 81
82,14,0,20,3,Some Random Commen with Id 82
83,15,8,112,1,Some Random Commen with Id 83
84,15,8,11,4,Some Random Commen with Id 84
85,15,8,68,4,Some Random Commen with Id 85
86,15,8,165,3,Some Random Commen with Id 86
87,15,8,59,1,Some Random Commen with Id 87
88,15,8,166,7,Some Random Commen with Id 88
89,16,2,133,7,Some Random Commen with Id 89
90,16,2,199,9,Some Random Commen with Id 90
91,16,2,118,2,Some Random Commen with Id 91
92,16,2,62,7,Some Random Commen with Id 92
93,16,2,8,6,Some Random Commen with Id 93
94,16,2,155,8,Some Random Commen with Id 94
95,17,3,41,9,Some Random Commen with Id 95
96,17,3,165,7,Some Random Commen with Id 96
